"EmployeeId","DisplayName","UserPrincipalName","Department","JobTitle","AccountEnabled"
"MC1001","Sarah Chen","sarah.chen@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1002","James Okafor","james.okafor@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1003","Aisha Mueller","aisha.mueller@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1004","Daniel Silva","daniel.silva@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1005","Mei Johansson","mei.johansson@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1006","Lucas Patel","lucas.patel@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1007","Priya Novak","priya.novak@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Physician","True"
"MC1008","Tom Reyes","tom.reyes@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Physician","True"
"MC1009","Elena Kim","elena.kim@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Physician","True"
"MC1010","Kwame Dubois","kwame.dubois@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Physician","True"
"MC1011","Hannah Anderson","hannah.anderson@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Billing Specialist","True"
"MC1012","Omar Hassan","omar.hassan@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Billing Specialist","True"
"MC1013","Julia Rossi","julia.rossi@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Billing Specialist","True"
"MC1014","Ethan Tanaka","ethan.tanaka@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Billing Specialist","True"
"MC1015","Fatima Brown","fatima.brown@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Finance Analyst","True"
"MC1016","Noah Kowalski","noah.kowalski@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Finance Analyst","True"
"MC1017","Ingrid Nguyen","ingrid.nguyen@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Finance Analyst","True"
"MC1018","Carlos Garcia","carlos.garcia@Simedelonneynjebagmail.onmicrosoft.com","IT","Helpdesk Technician","True"
"MC1019","Yuki Smith","yuki.smith@Simedelonneynjebagmail.onmicrosoft.com","IT","Helpdesk Technician","True"
"MC1020","Liam Petrov","liam.petrov@Simedelonneynjebagmail.onmicrosoft.com","IT","Helpdesk Technician","True"
"MC1021","Amara Lindqvist","amara.lindqvist@Simedelonneynjebagmail.onmicrosoft.com","IT","System Administrator","True"
"MC1022","Peter Mensah","peter.mensah@Simedelonneynjebagmail.onmicrosoft.com","IT","System Administrator","True"
"MC1023","Sofia Costa","sofia.costa@Simedelonneynjebagmail.onmicrosoft.com","HR","HR Coordinator","True"
"MC1024","David Yamamoto","david.yamamoto@Simedelonneynjebagmail.onmicrosoft.com","HR","HR Coordinator","True"
"MC1025","Nadia Ali","nadia.ali@Simedelonneynjebagmail.onmicrosoft.com","HR","HR Coordinator","True"
"MC1026","Marco Schmidt","marco.schmidt@Simedelonneynjebagmail.onmicrosoft.com","Administration","Receptionist","True"
"MC1027","Chloe Ortega","chloe.ortega@Simedelonneynjebagmail.onmicrosoft.com","Administration","Receptionist","True"
"MC1028","Ivan Ivanova","ivan.ivanova@Simedelonneynjebagmail.onmicrosoft.com","Administration","Receptionist","True"
"MC1029","Leila Moreau","leila.moreau@Simedelonneynjebagmail.onmicrosoft.com","Administration","Office Manager","True"
"MC1030","Ryan Walsh","ryan.walsh@Simedelonneynjebagmail.onmicrosoft.com","Administration","Office Manager","True"
"MC1031","Grace Berg","grace.berg@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1032","Samuel Owusu","samuel.owusu@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Nurse","True"
"MC1033","Anya Ferrari","anya.ferrari@Simedelonneynjebagmail.onmicrosoft.com","Billing & Finance","Billing Specialist","True"
"MC1034","Victor Sato","victor.sato@Simedelonneynjebagmail.onmicrosoft.com",,"Helpdesk Technician","True"
"MC1035","Zara Khan","zara.khan@Simedelonneynjebagmail.onmicrosoft.com","HR","HR Coordinator","True"
"MC1036","Oliver Weber","oliver.weber@Simedelonneynjebagmail.onmicrosoft.com","Administration","Receptionist","True"
"MC1037","Ines Ramos","ines.ramos@Simedelonneynjebagmail.onmicrosoft.com","Clinical","Physician","True"
"MC1038","Felix Volkov","felix.volkov@Simedelonneynjebagmail.onmicrosoft.com",,"Finance Analyst","True"
"MC1039","Maya Laurent","maya.laurent@Simedelonneynjebagmail.onmicrosoft.com","IT","System Administrator","True"
"MC1040","Hugo Doyle","hugo.doyle@Simedelonneynjebagmail.onmicrosoft.com",,"Nurse","True"
